molecule_chembl_id,canonical_smiles,pchembl_value
CHEMBL1999049,CCn1c(Cl)c(C=O)s/c1=N\S(=O)(=O)c1ccccc1,4.9
CHEMBL1904199,O=C(NCc1ccccc1C(F)(F)F)c1cccc2c1C(=O)c1ccc(N3CCC(N4CCCCC4)CC3)cc1S2(=O)=O,5.23
CHEMBL1375884,Cc1cccc(CS(=O)(=O)c2ncc(Cl)c(C(=O)Nc3ccc(F)cc3)n2)c1,5.02
CHEMBL3207597,C/C(=N\Nc1ccc([N+](=O)[O-])cc1)c1ccc2c(c1)OCO2,4.9
CHEMBL1589062,COc1ccc(Cn2cc3c(-c4ccc(F)cc4)nnc-3c3cc(OC)c(OC)cc32)cc1,5.25
CHEMBL1542492,CC(NC(=O)/C(C#N)=C/c1ccc([N+](=O)[O-])o1)c1ccccc1,5.08
CHEMBL1434843,O=C(NC1CCCCC1)c1cccc2c1C(=O)c1ccc(N3CCC(Cc4ccccc4)CC3)cc1S2(=O)=O,5.41
CHEMBL1736537,CC(=O)Nc1ccc2c(c1)Cc1cc(N3C(=O)C=CC3=O)ccc1-2,5.14
CHEMBL1396129,COc1ccc(-c2cc(=O)oc3c(C)c(OCC(=O)NCCCn4ccnc4)ccc23)cc1,4.47
CHEMBL1495079,Cn1cc(/C=C(\C(=O)O)C(C(=O)O)=C2CCCCC2)c2ccccc21,4.27
CHEMBL1492044,CC(=O)Oc1ccc2c(c1)Oc1cc(OC(C)=O)ccc1C21OC(=O)c2ccccc21,4.4
CHEMBL1557268,CCOC(=O)c1c2c3c(cccc3n(C)c1=O)C(=O)c1ccccc1-2,4.27
CHEMBL1439847,Cc1nn(-c2ccccc2)c(Cl)c1/C=C(\CC(=O)O)c1nc2ccccc2s1,5.03
CHEMBL1346167,O=C(CSc1nnc(NC(=O)c2cccc(F)c2)s1)NCc1ccco1,5.34
CHEMBL1376656,O=C(CSc1nnc(NC(=O)c2ccccc2)s1)NCc1ccco1,5.33
CHEMBL1527705,Oc1nc(SCc2nnc(S)n2-c2ccccc2)nc2sc3c(c12)CCC3,5.38
CHEMBL1410338,Cc1ccc(-c2nnc(S)n2-c2ccccc2)cc1,5.0
CHEMBL1517808,Cc1cccc(C(=O)Nc2nnc(SCC(=O)NCc3ccco3)s2)c1,4.67
CHEMBL1463059,Cc1cccc(-n2c(C)nnc2S)c1C,5.08
CHEMBL1610243,Cc1cc(C(=O)OCC(=O)NC(=O)c2cccn2C)c2ccccc2n1,5.64
CHEMBL3191623,CC(=C/c1ccccc1)/C=N/n1c(S)nnc1-c1ccncc1,5.49
CHEMBL1550381,CC(=O)c1ccc(-c2ccc(Cn3c(C)nc4cc(N)c(C)nc43)cc2)cc1,5.2
CHEMBL1502551,CCN(CC)c1ccc2cc(C(=O)NCc3ccc(F)cc3)c(=N)oc2c1,4.55
CHEMBL3809576,O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1cccc(Cl)c1,6.8
CHEMBL3810416,O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1ccccc1,5.92
CHEMBL3809666,O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1ccccc1Cl,6.01
CHEMBL3808671,CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3O)[nH]2)cc1,6.8
CHEMBL3809559,CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2O)[nH]1,6.03
CHEMBL3809719,Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2O)[nH]1,6.8
CHEMBL3809609,O=C(CSc1nnc(-c2ccccc2O)[nH]1)Nc1ccccc1,6.38
CHEMBL3810164,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1cccc(Cl)c1,6.16
CHEMBL3809469,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1Cl,6.46
CHEMBL3810052,CCCCc1ccc(NC(=O)CSc2nnc(-c3ccccc3)[nH]2)cc1,6.82
CHEMBL3809445,CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2)[nH]1,6.0
CHEMBL3808678,Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2)[nH]1,6.72
CHEMBL3809713,O=C(CSc1nnc(-c2ccccc2)[nH]1)Nc1ccccc1,6.77
CHEMBL3809860,Nc1ccccc1-c1nnc(SCC(=O)Nc2cccc(Cl)c2)[nH]1,6.64
CHEMBL3809238,Nc1ccccc1-c1nnc(SCC(=O)Nc2ccccc2Cl)[nH]1,6.21
CHEMBL3810122,CCc1ccccc1NC(=O)CSc1nnc(-c2ccccc2N)[nH]1,6.35
CHEMBL3809903,Cc1ccccc1NC(=O)CSc1nnc(-c2ccccc2N)[nH]1,5.72
CHEMBL3808891,Nc1ccccc1-c1nnc(SCC(=O)Nc2ccccc2)[nH]1,6.48
CHEMBL3810235,O=C(CSc1nnc(-c2ccc(O)cc2)[nH]1)Nc1ccccc1Cl,6.28
CHEMBL3808797,CCCCc1ccc(NC(=O)CSc2nnc(-c3ccc(O)cc3)[nH]2)cc1,6.32
CHEMBL3809001,CCc1ccccc1NC(=O)CSc1nnc(-c2ccc(O)cc2)[nH]1,5.82
CHEMBL3808541,Cc1ccccc1NC(=O)CSc1nnc(-c2ccc(O)cc2)[nH]1,6.01
CHEMBL332970,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(Cl)c(Cl)c1)C(=O)O,7.7
CHEMBL120198,Nc1ccc(/C=C(/CP(=O)(O)C(N)CC2CCCCC2)C(=O)O)cc1,6.82
CHEMBL120600,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(Br)cc1)C(=O)O,7.52
CHEMBL333841,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(C(F)(F)F)cc1)C(=O)O,8.0
CHEMBL117337,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(Br)cc1)C(=O)O,8.22
CHEMBL332290,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(F)c(Br)c1)C(=O)O,7.4
CHEMBL118275,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(F)c(Br)c1)C(=O)O,5.52
CHEMBL325021,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccccc1I)C(=O)O,7.0
CHEMBL334279,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(I)cc1)C(=O)O,7.6
CHEMBL119392,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(F)c(Cl)c1)C(=O)O,6.46
CHEMBL326292,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(I)cc1)C(=O)O,8.1
CHEMBL118190,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1cccc(I)c1)C(=O)O,6.6
CHEMBL119118,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(Cl)c(Cl)c1)C(=O)O,6.7
CHEMBL334143,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(F)c(Cl)c1)C(=O)O,7.52
CHEMBL119261,Nc1ccc(/C=C(\CP(=O)(O)C(N)CC2CCCCC2)C(=O)O)cc1,7.16
CHEMBL420537,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(C(F)(F)F)cc1)C(=O)O,6.7
CHEMBL119723,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1ccc(F)cc1)C(=O)O,8.3
CHEMBL122415,NC(CC1CCCCC1)P(=O)(O)C/C(=C\c1cccc(I)c1)C(=O)O,7.35
CHEMBL119055,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccc(F)cc1)C(=O)O,7.82
CHEMBL331554,NC(CC1CCCCC1)P(=O)(O)C/C(=C/c1ccccc1I)C(=O)O,6.0
CHEMBL606647,COC1=CC2CC(=O)N(C2)C1C(=O)OCc1ccc([N+](=O)[O-])cc1,4.6
CHEMBL277857,CC1(C)S[C@@H]2[C@@H](CO)C(=O)N2[C@H]1C(=O)O,4.02
CHEMBL84953,CC[C@@H]1C(=O)N2C[C@@H]1CC(OC)=C2C(=O)O,4.0
CHEMBL177772,C[C@H](O)[C@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S(=O)(=O)[C@H]12.[Na+],5.8
CHEMBL175189,C[C@H](O)[C@@H]1C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S(=O)(=O)[C@H]12.[Na+],6.92
CHEMBL1239,O=C(OCc1ccccc1)c1ccccc1,4.05
CHEMBL91,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,4.4
CHEMBL808,Clc1ccc(COC(Cn2ccnc2)c2ccc(Cl)cc2Cl)cc1,4.6
CHEMBL593,CC(C)Nc1cccnc1N1CCN(C(=O)c2cc3cc(NS(C)(=O)=O)ccc3[nH]2)CC1,4.05
CHEMBL338933,O=C(CNc1ccc(O)cc1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],4.1
CHEMBL16958,O=C1NCc2c1c1c3ccccc3[nH]c1c1[nH]c3ccccc3c21,5.1
CHEMBL47606,Cc1ccc(-c2cc(C(=O)O)cc(-c3ccc4ccccc4c3)n2)cc1,4.3
CHEMBL412073,O=C(O)C1(C(=O)O)C23c4c5c6c7c8c4-c4c2c2c9c%10c%11c%12c(c-5c5c%13c%14c%15c%16c%17c(c-7c7c%18c%19c%20c%21c(c4C%204C(C(=O)O)(C(=O)O)C874)c2c2c9c4c%11c7c(c%13%12)c%14c8c%16c9c(c%18%17)c%19c%11c%21c2c2c4c7c8c9c%112)C%152C(C(=O)O)(C(=O)O)C652)C%1013,5.16
CHEMBL45494,O=C(O)c1cc(-c2ccc(Cl)cc2)nc(-c2ccc(Sc3ccc(Cl)cc3)cc2)c1,5.7
CHEMBL47173,O=C1Nc2ccccc2/C1=C/c1ccc(-c2cccs2)s1,5.7
CHEMBL49869,O=C(Nc1nnc(Sc2nc3cc(Cl)ccc3s2)s1)c1ccc(Cl)c(Cl)c1,6.3
CHEMBL1627394,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCCc3ccccc3)CC[C@@H]12,5.3
CHEMBL47808,Oc1ccc(/N=N/c2cccc(Br)c2)cc1,4.82
CHEMBL50656,O=C(O)COc1ccc(/N=N/c2ccc3cc(Br)ccc3c2O)cc1,4.52
CHEMBL48412,CC(C)(C)c1ccc(-c2cc(C(=O)O)cc(-c3ccc(Cl)c(Cl)c3)n2)cc1,5.4
CHEMBL3137827,COC1CC[C@@]2(C)[C@@H](CC[C@H]3[C@@H]4CC[C@H](NCCN)[C@@]4(C)C[C@H](O)[C@@H]32)C1,5.0
CHEMBL48334,CCCCCCC(Oc1ccc(S(=O)(=O)c2ccc(OCc3ccccc3)cc2)cc1)C(=O)O,5.52
CHEMBL46202,O=C(O)c1cc(-c2ccc(Cl)cc2)nc(-c2ccc(-c3ccccc3)cc2)c1,5.3
CHEMBL298653,O=C1Nc2ccccc2/C1=C\c1ccc2c(c1O)CCCC2,4.82
CHEMBL46040,Cc1cc(Cl)cc2c1C(=O)/C(=C1/Sc3cc(Cl)cc(C)c3C1=O)S2,5.52
CHEMBL47626,CC(C)CC(Oc1ccc(OC(=O)c2cc(-c3ccc(Cl)cc3)nc(-c3ccc(Cl)cc3)c2)cc1)C(=O)O,4.82
CHEMBL296455,CN(C)c1ccc(/C=C2/C(=O)Nc3ccccc32)cc1,5.0
CHEMBL45343,Cc1cc(Cl)cc2c1C(=O)/C(=C1\Sc3cc(Cl)cc(C)c3C1=O)S2,5.0
CHEMBL124855,O=S(=O)(O)c1cc(O)c(/N=N/c2c(O)ccc3ccccc23)c2ccccc12,4.3
CHEMBL1160166,O=S(=O)(O)c1cc(Br)ccc1/N=N/c1c(S(=O)(=O)O)cc2cc(S(=O)(=O)O)c(/N=N/c3ccc(Br)cc3S(=O)(=O)O)c(O)c2c1O,4.1
CHEMBL49498,O=C(Nc1nnc(Sc2nc3cc(Cl)ccc3s2)s1)c1cccs1,5.7
CHEMBL45841,CCCCc1ccc(-c2cc(C(=O)O)cc(-c3ccc(Cl)cc3)n2)cc1,5.1
CHEMBL45981,CC(C)(C)c1cc(/C=C2/C(=O)Nc3ncccc32)cc(C(C)(C)C)c1O,5.4
CHEMBL1628078,COc1ccc2c(c1)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](NCCNc3ccc([N+](=O)[O-])cn3)CC[C@@H]12,5.3
CHEMBL31741,O=c1[nH]c2cc(Cl)ccc2c(O)c1-c1cccc(Oc2ccccc2)c1,4.66
CHEMBL227512,COc1c(F)c(F)c(C(=O)Nc2ccc(NC(=O)c3ccco3)cc2)c(F)c1F,4.7
CHEMBL3895524,NC(=O)[C@H]1CC[C@H]2CN1C(=O)N2OS(=O)(=O)[O-].[Na+],6.19
CHEMBL4114669,CC1C/C(=C2/O[C@@H]3CC(=O)N3C2C(=O)O)C(=O)O1,4.57
CHEMBL4114749,O=C(O)/C(C/C=C/CN(Cc1ccccc1)C(=O)OCc1ccccc1)=C1/O[C@@H]2CC(=O)N2C1C(=O)OCc1ccccc1,5.34
CHEMBL177463,CC1(C)S[C@@H]2[C@@H](CO)C(=O)N2[C@H]1C(=O)[O-].[Na+],4.23
CHEMBL67925,C[C@@H](O)[C@H]1C(=O)N2C(C(=O)[O-])=C(C(C)(C)C)S(=O)(=O)[C@H]12.[K+],5.0
CHEMBL35418,CCOC(=O)c1cnnn1C[C@@]1(C)[C@H](C(=O)[O-])C2C(=O)CC2S1(=O)=O.[Na+],6.47
CHEMBL286323,COC(=O)c1cnnn1C[C@@]1(C)[C@H](C(=O)[O-])C2C(=O)CC2S1(=O)=O.[Na+],6.52
CHEMBL286829,C[C@]1(Cn2cc(C(=O)[O-])nn2)[C@H](C(=O)[O-])C2C(=O)CC2S1(=O)=O.[K+].[K+],6.22
CHEMBL288566,C[C@]1(Cn2nncc2C(=O)[O-])[C@H](C(=O)[O-])C2C(=O)CC2S1(=O)=O.[K+].[K+],5.77
CHEMBL284828,C[C@]1(Cn2cc([Si](C)(C)C)nn2)[C@H](C(=O)[O-])C2C(=O)CC2S1(=O)=O.[Na+],6.29
CHEMBL284273,COC(=O)c1nnn(C[C@@]2(C)[C@H](C(=O)[O-])C3C(=O)CC3S2(=O)=O)c1C(=O)OC.[Na+],6.52
CHEMBL35480,C[C@]1(Cn2cc(N)nn2)[C@H](C(=O)O)C2C(=O)CC2S1(=O)=O,6.16
CHEMBL33950,CCOC(=O)c1cn(C[C@@]2(C)[C@H](C(=O)[O-])C3C(=O)CC3S2(=O)=O)nn1.[Na+],7.27
CHEMBL33711,COC(=O)c1cn(C[C@@]2(C)[C@H](C(=O)[O-])C3C(=O)CC3S2(=O)=O)nn1.[Na+],7.31
CHEMBL36657,COC(=O)/C=C1/C(=O)N2C(C(=O)[O-])=C(COC(C)=O)CS(=O)(=O)[C@H]12.[Na+],7.43
CHEMBL290165,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])[C@H]2S(=O)(=O)C1.[Na+].[Na+],6.4
CHEMBL8290,O=C([O-])[C@H]1/C(=C/CO)O[C@@H]2CC(=O)N21.[Na+],7.22
CHEMBL8111,CC(=O)OCC1=C(C(=O)[O-])N2C(=O)C(=C(Cl)Cl)[C@H]2S(=O)(=O)C1.[Na+],5.08
CHEMBL2087635,CC(C)(C)OC(=O)Nc1cccc(C2=N[C@H](C(=O)O)CS2)c1,4.13
CHEMBL4065946,O=C(O)c1ccc(-c2ccc(F)cc2)cc1CS,4.48
CHEMBL4533632,NCc1ccc(C(=O)N[C@H]2Cc3cccc(C(=O)O)c3OB2O)cc1,8.52
CHEMBL1325961,O=C1OC(c2cc(I)c(O)c(I)c2)(c2cc(I)c(O)c(I)c2)c2ccccc21,5.47
CHEMBL1358,C[C@]12CC[C@@H]3c4ccc(O)cc4C[C@@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)[C@H]3[C@@H]1CC[C@@H]2O,4.25
CHEMBL128979,CC(C)(C)OC(=O)N1CCC2C1C(=O)N2OCC(=O)OCc1ccccc1,4.58
CHEMBL68042,O=C1NC(=S)S/C1=C\C=C\c1ccccc1,4.12
CHEMBL302252,O=C1NC(=S)S/C1=C\c1cn(-c2ccccc2)nn1,4.08
CHEMBL66064,O=C1NC(=S)S/C1=C\c1ccc([N+](=O)[O-])cc1,4.37
CHEMBL69676,CN(C)c1ccc(/C=C/C=C2\SC(=S)NC2=O)cc1,5.1
CHEMBL27621,COC1=C(C(=O)[O-])N2C(=O)[C@H]([C@@H](C)O)[C@H]2C1.[K+],6.29
CHEMBL39640,CC1(C)S[C@@H]2/C(=C\C(=O)[O-])C(=O)N2[C@H]1C(=O)[O-].[Na+].[Na+],4.86
CHEMBL33895,CC(C)(C)OC(=O)/C=C1/C(=O)N2[C@@H](C(=O)[O-])C(C)(C)S[C@H]12.[Na+],5.05
CHEMBL3234716,COC(=O)c1c(O)ccc2nc3c(C(=O)O)cccc3nc12,6.0
CHEMBL3234717,COC(=O)c1cc(SCC(NC(C)=O)C(=O)OC)cc2nc3c(C(=O)O)cccc3nc12,6.0
CHEMBL355571,C=C1C(COC(C)=O)=C(C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])[C@H]2S1(=O)=O.[Na+].[Na+],5.6
CHEMBL171001,CSC(SC)=C1C(C)=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S1(=O)=O.[Na+],6.29
CHEMBL166730,C=C1C(C)=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)[C@H]2S1(=O)=O.[Na+],7.41
CHEMBL166677,C=C1C(C)=C(C(=O)[O-])N2C(=O)/C(=C/C(=O)[O-])[C@H]2S1(=O)=O.[Na+].[Na+],4.43
CHEMBL353230,CC(C)(C)OC(=O)/C=C/C1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S(=O)(=O)C1.[Na+],5.83
CHEMBL174970,C/C=C1/C(=O)N2C(C(=O)[O-])=C3CCCCC3[C@H]12.[Na+],5.75
CHEMBL2420949,COC1CCN(c2cccc(C(=O)O)c2C(=O)O)CC1,5.43
CHEMBL2420948,O=C(O)c1cccc(N2CCC(O)(c3ccccc3)CC2)c1C(=O)O,5.64
CHEMBL2420947,O=C(O)c1cccc(N2CCC(CCO)CC2)c1C(=O)O,4.59
CHEMBL2420946,O=C(O)c1cccc(N2CCC(CO)CC2)c1C(=O)O,5.58
CHEMBL2420945,O=C(O)c1cccc(N2CCC(O)CC2)c1C(=O)O,5.57
CHEMBL2420944,O=C(O)c1cccc(N2CCCC(CO)C2)c1C(=O)O,5.68
CHEMBL2420943,O=C(O)c1cccc(N2CCCC(O)C2)c1C(=O)O,5.57
CHEMBL2420942,O=C(O)c1cccc(N2CCCCC2)c1C(=O)O,4.97
CHEMBL2420941,O=C(O)c1cccc(N2CCCC2)c1C(=O)O,5.55
CHEMBL2420940,CN(C)c1cccc(C(=O)O)c1C(=O)O,4.03
CHEMBL2420939,CCCCNc1cccc(C(=O)O)c1C(=O)O,4.88
CHEMBL2420938,O=C(O)c1cccc(OCCCO)c1C(=O)O,4.67
CHEMBL2420937,O=C(O)c1cccc(OCCO)c1C(=O)O,4.32
CHEMBL2420936,O=C(O)CCCCOc1cccc(C(=O)O)c1C(=O)O,4.73
CHEMBL2420935,O=C(O)c1cccc(OCCCc2ccccc2)c1C(=O)O,5.77
CHEMBL2420934,O=C(O)c1cccc(OCCCC2CCCCC2)c1C(=O)O,5.7
CHEMBL2420933,CCCCOc1cccc(C(=O)O)c1C(=O)O,5.29
CHEMBL2420932,O=C(O)c1cccc(OCc2ccccc2)c1C(=O)O,5.13
CHEMBL566579,O=C(O)c1cccc(-c2ccc(O)cc2)c1C(=O)O,5.81
CHEMBL4077556,CCOP(=O)(OCC)C(CCc1ccccc1)CSC(C)=O,4.75
CHEMBL172564,CCC(=O)OCC1=C(C(=O)[O-])N2C(=O)/C(=C/c3ccccn3)C2S(=O)(=O)C1.[Na+],4.81
CHEMBL4129233,Cc1ccc(/C=C(\S)C(=O)O)cc1,6.16
CHEMBL3221930,O=C(O)/C(S)=C/c1ccc(F)cc1,5.09
CHEMBL3221932,O=C(O)/C(S)=C/c1ccc(Br)cc1,5.0
CHEMBL4129039,COc1ccc(/C=C(\S)C(=O)O)cc1,5.62
CHEMBL1451326,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3ccccc3F)SC2=S)CC1,4.58
CHEMBL3221922,O=C(O)/C(S)=C/c1ccccc1F,5.4
CHEMBL3221923,O=C(O)/C(S)=C/c1ccccc1Cl,6.05
CHEMBL4129315,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3ccccc3Br)SC2=S)CC1,4.84
CHEMBL3221924,O=C(O)/C(S)=C/c1ccccc1Br,5.24
CHEMBL4126745,O=C(O)CN1C(=O)/C(=C/c2ccccc2I)SC1=S,4.5
CHEMBL3221925,O=C(O)/C(S)=C/c1ccccc1I,5.2
CHEMBL4129222,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3c(F)cccc3Cl)SC2=S)CC1,5.7
CHEMBL4127821,O=C(O)/C(S)=C/c1c(F)cccc1Cl,7.22
CHEMBL4127980,O=C(O)CN1C(=O)/C(=C/c2c(F)ccc(F)c2F)SC1=S,4.57
CHEMBL4126589,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3c(F)ccc(F)c3F)SC2=S)CC1,5.46
CHEMBL4126465,O=C(O)/C(S)=C/c1c(F)ccc(F)c1F,6.52
CHEMBL4129749,O=C(O)CN1C(=O)/C(=C/c2csc3ccccc23)SC1=S,4.66
CHEMBL4130192,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3csc4ccccc34)SC2=S)CC1,5.14
CHEMBL4126927,O=C(O)/C(S)=C/c1csc2ccccc12,5.51
CHEMBL4126780,O=C(O)CN1C(=O)/C(=C/c2c(Cl)cccc2Cl)SC1=S,4.38
CHEMBL1559342,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3c(Cl)cccc3Cl)SC2=S)CC1,6.7
CHEMBL4127736,O=C(O)/C(S)=C/c1c(Cl)cccc1Cl,7.16
CHEMBL4129136,O=C(O)CN1C(=O)/C(=C/c2cccc(Cl)c2Cl)SC1=S,4.66
CHEMBL4128976,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3cccc(Cl)c3Cl)SC2=S)CC1,5.96
CHEMBL4125695,O=C(O)/C(S)=C/c1cccc(Cl)c1Cl,6.0
CHEMBL4126663,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3cc(Cl)ccc3Cl)SC2=S)CC1,4.81
CHEMBL4125965,O=C(O)/C(S)=C/c1cc(Cl)ccc1Cl,5.8
CHEMBL4127204,CN1CCN(NC(=O)CN2C(=O)/C(=C/c3c(F)cccc3F)SC2=S)CC1,5.52
CHEMBL4125829,O=C(O)/C(S)=C/c1c(F)cccc1F,7.0
CHEMBL4126798,Cc1cccc(C)c1/C=C1\SC(=S)N(CC(=O)NN2CCN(C)CC2)C1=O,4.57
CHEMBL4129411,Cc1cccc(C)c1/C=C(\S)C(=O)O,6.7
CHEMBL4128032,O=C(O)CN1C(=O)/C(=C/c2c(Cl)ccc(Cl)c2Cl)SC1=S,4.67
CHEMBL4129450,CN1CCN(NC(=O)CN2C(=O)S/C(=C\c3c(Cl)ccc(Cl)c3Cl)C2=O)CC1,6.22
CHEMBL4128221,O=C(O)/C(S)=C/c1ccccc1Cc1ccc2ccccc2c1,6.7
CHEMBL4126979,O=C(O)C(S)Cc1ccccc1,5.85
CHEMBL327862,CCCCc1nn(-c2ccccc2C(F)(F)F)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.66
CHEMBL328598,CCCCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.1
CHEMBL93735,CCCCc1nn(-c2ccccc2C)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.16
CHEMBL92654,CCCCc1nn(-c2ccccc2C(F)(F)F)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.4
CHEMBL315878,CCCCc1nn(-c2cc(Cl)ccc2Cl)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.3
CHEMBL94002,CCCCc1nn(-c2cccc(Cl)c2Cl)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.43
CHEMBL93226,CCCCc1nn(-c2ccccc2Cl)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.52
CHEMBL90774,CCCCc1nn(-c2c(Cl)cc(Cl)cc2Cl)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.48
CHEMBL329466,CCCCc1nn(-c2ccccc2)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.0
CHEMBL419321,CCCCc1nn(-c2cccc(Cl)c2Cl)c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.0
CHEMBL92472,CCCCc1nn(-c2ccc(Cl)cc2Cl)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.1
CHEMBL329616,CCCCc1nn(-c2c(Cl)cccc2Cl)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.0
CHEMBL90011,CCCCc1nn(-c2ccccc2C)c(C(=O)O)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.1
CHEMBL327718,CCCCc1nn(-c2ccccc2[N+](=O)[O-])c(C(=O)OCC)c1Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1,4.75
CHEMBL3234725,c1ccc(-c2nnn[nH]2)c(-c2ccc(Cn3c4ccccc4c4ccccc43)cc2)c1,6.52
CHEMBL129690,O=C(Nc1ccccc1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],6.38
CHEMBL341496,Cn1nnnc1SCC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],6.7
CHEMBL339600,NC(=O)c1ccc(NC(=O)N2CC[C@@H]3[C@H]2C(=O)N3S(=O)(=O)[O-])cc1.[Na+],6.66
CHEMBL340937,O=C(/C=C/c1c[nH]cn1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],6.96
CHEMBL340423,O=C(OCc1ccccc1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],6.7
CHEMBL128523,CC(C)(C)OC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],5.82
CHEMBL129651,Cn1cnnc1SCC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],6.07
CHEMBL129226,Cn1ccnc1SCC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],6.21
CHEMBL130854,NC(C(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-])c1ccc(O)cc1.[Na+],7.05
CHEMBL338351,O=C(Nc1ccc(O)cc1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],6.81
CHEMBL336630,O=C(NC1CCNCC1)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],5.41
CHEMBL129090,O=C1NCC[C@@H]1NC(=O)N1CC[C@@H]2[C@H]1C(=O)N2S(=O)(=O)[O-].[Na+],5.65
